"","EntryID.uniprot","Symbol","Synonym","Reviewed","EntryName","ProteinName","Keywords","Location","AntibodyName"
"11","Q8BM81","Aadacl4fm1",NA,"reviewed","AD4F1_MOUSE","Arylacetamide deacetylase-like 4 family member 1 (EC 3.1.1.-) (AADACL4 family member 1)","Glycoprotein;Hydrolase;Membrane;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA
"12","Q9WVM8","Aadat","Kat2","reviewed","AADAT_MOUSE","Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Glycine transaminase AADAT) (EC 2.6.1.4) (Kynurenine aminotransferase II) (Kynurenine--glyoxylate transaminase AADAT) (EC 2.6.1.63) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II) (Methionine--glyoxylate transaminase AADAT) (EC 2.6.1.73)","Acetylation;Aminotransferase;Mitochondrion;Phosphoprotein;Pyridoxal phosphate;Reference proteome;Transferase;Transit peptide","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.",NA
"13","Q8R2R3","Aagab",NA,"reviewed","AAGAB_MOUSE","Alpha- and gamma-adaptin-binding protein p34","Cytoplasm;Phosphoprotein;Protein transport;Reference proteome;Transport","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}.",NA
"14","Q3UHJ0","Aak1","Kiaa1048","reviewed","AAK1_MOUSE","AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)","3D-structure;Acetylation;Alternative splicing;ATP-binding;Cell membrane;Cell projection;Coated pit;Endocytosis;Kinase;Membrane;Methylation;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Synapse;Transferase","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:F1MH24}; Peripheral membrane protein {ECO:0000250|UniProtKB:F1MH24}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:P0C1X8}. Presynapse {ECO:0000250|UniProtKB:P0C1X8}. Note=Active when found in clathrin-coated pits at the plasma membrane. In neuronal cells, enriched at presynaptic terminals. In non-neuronal cells, enriched at leading edge of migrating cells. {ECO:0000250|UniProtKB:P0C1X8}.",NA
"15","Q8R0P4","Aamdc",NA,"reviewed","AAMDC_MOUSE","Mth938 domain-containing protein (LI2)","Alternative splicing;Cytoplasm;Reference proteome","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21622130}. Note=Diffuse distribution with some highly concentrated spots around the nucleus.",NA
"16","O88816","Aanat","Snat","reviewed","SNAT_MOUSE","Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)","Acyltransferase;Biological rhythms;Cytoplasm;Melatonin biosynthesis;Phosphoprotein;Reference proteome;Transferase","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q16613}.",NA
"17","Q9D2V5","Aar2",NA,"reviewed","AAR2_MOUSE","Protein AAR2 homolog (AAR2 splicing factor homolog)","mRNA processing;mRNA splicing;Reference proteome;Spliceosome",NA,NA
"18","Q811W1","Aard",NA,"reviewed","AARD_MOUSE","Alanine and arginine-rich domain-containing protein","Reference proteome",NA,NA
"19","Q8BGQ7","Aars1","Aars","reviewed","SYAC_MOUSE","Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein sticky) (Sti)","Acetylation;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Disease variant;Ligase;Metal-binding;Nucleotide-binding;Phosphoprotein;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding;Ubl conjugation;Zinc","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03133}.",NA
"20","Q14CH7","Aars2","Aarsl Gm89 Kiaa1270","reviewed","SYAM_MOUSE","Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)","Aminoacyl-tRNA synthetase;ATP-binding;Ligase;Metal-binding;Mitochondrion;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;Transit peptide;tRNA-binding;Zinc","SUBCELLULAR LOCATION: Mitochondrion.",NA
"21","Q3THG9","Aarsd1","Alax","reviewed","AASD1_MOUSE","Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA deacylase alaX) (AlaX) (AlaXp-II) (Alanyl-tRNA synthetase domain-containing protein 1)","Cytoplasm;Metal-binding;Phosphoprotein;Protein biosynthesis;Reference proteome;Zinc","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.",NA
"22","Q80WC9","Aasdh","Acsf4 U26","reviewed","ACSF4_MOUSE","Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein LYS2 homolog)","Alternative splicing;ATP-binding;Fatty acid metabolism;Ligase;Lipid metabolism;NAD;Nucleotide-binding;Phosphopantetheine;Phosphoprotein;Reference proteome",NA,NA
"23","Q9CQF6","Aasdhppt",NA,"reviewed","ADPPT_MOUSE","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT)","Alternative splicing;Cytoplasm;Magnesium;Metal-binding;Reference proteome;Transferase","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9NRN7}.",NA
"24","Q99K67","Aass","Lorsdh","reviewed","AASS_MOUSE","Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]","Acetylation;Mitochondrion;Multifunctional enzyme;NAD;NADP;Oxidoreductase;Reference proteome;Transit peptide","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9UDR5}.",NA
"25","Q9JKX4","Aatf","Che1 Trb","reviewed","AATF_MOUSE","Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1) (Traube protein)","Acetylation;Alternative splicing;Nucleus;Phosphoprotein;Reference proteome","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11071758}.",NA
"26","Q80YE4","Aatk","Aatyk Kiaa0641 Lmr1 Lmtk1","reviewed","LMTK1_MOUSE","Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (Lemur tyrosine kinase 1)","Alternative splicing;ATP-binding;Cell projection;Cytoplasm;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:17651901}; Single-pass type I membrane protein {ECO:0000269|PubMed:17651901}. Cytoplasm {ECO:0000269|PubMed:17651901}. Cytoplasm, perinuclear region {ECO:0000250}. Cell projection, dendrite {ECO:0000269|PubMed:17651901}. Cell projection, axon {ECO:0000269|PubMed:17651901}. Cell projection, growth cone {ECO:0000269|PubMed:17651901}. Note=Predominantly perinuclear. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Membrane. Note=Peripheral membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Membrane; Single-pass type I membrane protein.",NA
"27","P61922","Abat","Gabat","reviewed","GABT_MOUSE","4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)","Acetylation;Alternative splicing;Aminotransferase;Direct protein sequencing;Disulfide bond;Iron;Iron-sulfur;Metal-binding;Mitochondrion;Neurotransmitter degradation;Pyridoxal phosphate;Reference proteome;Transferase;Transit peptide","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.",NA
"28","P41233","Abca1","Abc1","reviewed","ABCA1_MOUSE","Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1)","ATP-binding;Cell membrane;Disulfide bond;Endosome;Glycoprotein;Lipoprotein;Membrane;Nucleotide-binding;Palmitate;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O95477}; Multi-pass membrane protein {ECO:0000255}. Endosome {ECO:0000250|UniProtKB:O95477}.",NA
"29","E9Q876","Abca12",NA,"reviewed","ABCAC_MOUSE","Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12)","ATP-binding;Cytoplasmic vesicle;Glycoprotein;Golgi apparatus;Lipid transport;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:Q86UK0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q86UK0}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q86UK0}. Note=Localizes in the limiting membrane of the lamellar granules (LGs). Trafficks from the Golgi apparatus to the lamellar granules (LGs) at the cell periphery in the uppermost granular layer keratinocytes where ABCA12-positive LGs fuse with the keratinocyte-cell membrane to secrete their lipid content to the extracellular space of the stratum corneum. Co-localizes through the Golgi apparatus to the cell periphery with glucosylceramide. {ECO:0000250|UniProtKB:Q86UK0}.",NA
"30","Q5SSE9","Abca13",NA,"reviewed","ABCAD_MOUSE","ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)","Alternative splicing;ATP-binding;Cytoplasmic vesicle;Lipid transport;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:33478937}; Multi-pass membrane protein {ECO:0000305}.",NA
"31","E9PX95","Abca17",NA,"reviewed","ABCAH_MOUSE","ATP-binding cassette sub-family A member 17","ATP-binding;Cytoplasm;Endoplasmic reticulum;Glycoprotein;Lipid metabolism;Lipid transport;Membrane;Nucleotide-binding;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15810880}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:22237709}.",NA
"32","P41234","Abca2","Abc2","reviewed","ABCA2_MOUSE","ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)","ATP-binding;Endosome;Glycoprotein;Lysosome;Membrane;Methylation;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:Q9BZC7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9BZC7}. Lysosome membrane {ECO:0000269|PubMed:11157071}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9BZC7}. Note=Forms discrete, punctate intracellular vesicles. {ECO:0000250|UniProtKB:Q9BZC7}.",NA
"33","Q8R420","Abca3",NA,"reviewed","ABCA3_MOUSE","Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]","ATP-binding;Cytoplasmic vesicle;Disulfide bond;Endosome;Glycoprotein;Lipid transport;Lysosome;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Endosome, multivesicular body membrane {ECO:0000250|UniProtKB:Q99758}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q99758}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q99758}. Late endosome membrane {ECO:0000250|UniProtKB:Q99758}. Lysosome membrane {ECO:0000250|UniProtKB:Q99758}. Note=Localized in the limiting membrane of lamellar bodies in lung alveolar type II cells (PubMed:11940594). Trafficks via the Golgi, sorting vesicles (SVs) and late endosome/multivesicular body network directly to the outer membrane of lamellar bodies in AT2 lung epithelial cells or to lysosomes and lysosomal-related organelles (LROs) in other cells where undergoes proteolytic cleavage and oligosaccharide processing from high mannose type to complex type. Oligomers formation takes place in a post-endoplasmic reticulum compartment (By similarity). {ECO:0000250|UniProtKB:Q99758, ECO:0000269|PubMed:11940594}.",NA
"34","O35600","Abca4","Abcr","reviewed","ABCA4_MOUSE","Retinal-specific phospholipid-transporting ATPase ABCA4 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Retinal-specific ATP-binding cassette transporter)","ATP-binding;Cell projection;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Sensory transduction;Translocase;Transmembrane;Transmembrane helix;Transport;Vision","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P78363}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:9202155}. Note=Localized to the rim and incisures of rod outer segments disks. {ECO:0000269|PubMed:9202155}.",NA
"35","Q8K448","Abca5","Kiaa1888","reviewed","ABCA5_MOUSE","Cholesterol transporter ABCA5 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 5)","ATP-binding;Cell membrane;Endosome;Glycoprotein;Golgi apparatus;Lipid transport;Lysosome;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8CF82}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8CF82}. Lysosome membrane {ECO:0000269|PubMed:15870284}; Multi-pass membrane protein {ECO:0000269|PubMed:15870284}. Late endosome membrane {ECO:0000269|PubMed:15870284}; Multi-pass membrane protein {ECO:0000269|PubMed:15870284}. Cell membrane {ECO:0000269|PubMed:32687853}. Note=Localized at cell membrane under high cholesterol levels. {ECO:0000269|PubMed:32687853}.",NA
"36","Q8K441","Abca6",NA,"reviewed","ABCA6_MOUSE","ATP-binding cassette sub-family A member 6 (EC 7.6.2.-)","Alternative splicing;ATP-binding;Glycoprotein;Golgi apparatus;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8N139}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8N139}.",NA
"37","Q91V24","Abca7",NA,"reviewed","ABCA7_MOUSE","ATP-binding cassette sub-family A member 7","ATP-binding;Cell membrane;Cell projection;Cytoplasm;Disulfide bond;Endosome;Glycoprotein;Golgi apparatus;Lipid transport;Membrane;Nucleotide-binding;Phagocytosis;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:20495215, ECO:0000269|PubMed:26260791}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:16908670}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:16908670}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:27472885}. Cell projection, ruffle membrane {ECO:0000269|PubMed:16908670}. Cell projection, phagocytic cup {ECO:0000269|PubMed:16908670}. Note=Localizes to cell membrane ruffles and phagocytic cups of macrophages stimulated with C1q or apoptotic cells. Localizes to the cytoplasm of resting macrophages, probably in Golgi and endosomes (PubMed:16908670). Localizes to the apical brush border of cells in the proximal tubules of kidney (Probable). {ECO:0000269|PubMed:16908670, ECO:0000305}.",NA
"38","Q8K442","Abca8a",NA,"reviewed","ABC8A_MOUSE","ABC-type organic anion transporter ABCA8A (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8A)","ATP-binding;Cell membrane;Glycoprotein;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O94911}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O94911}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q8K440}. Note=Predominantly expressed on the sinusoidal plasma membrane. {ECO:0000250|UniProtKB:Q8K440}.",NA
"39","Q8K440","Abca8b","Abca8 Kiaa0822","reviewed","ABC8B_MOUSE","ABC-type organic anion transporter ABCA8B (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8B)","Alternative splicing;ATP-binding;Cell membrane;Glycoprotein;Lipid transport;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O94911}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O94911}. Basolateral cell membrane {ECO:0000269|PubMed:29300488}. Note=Predominantly expressed on the sinusoidal plasma membrane in hepatocytes. {ECO:0000269|PubMed:29300488}.",NA
"40","Q8K449","Abca9",NA,"reviewed","ABCA9_MOUSE","ATP-binding cassette sub-family A member 9 (EC 7.6.2.-)","ATP-binding;Glycoprotein;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.",NA
"41","Q9JI39","Abcb10",NA,"reviewed","ABCBA_MOUSE","ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein)","Acetylation;ATP-binding;Glutathionylation;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Reference proteome;Transit peptide;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10835348}; Multi-pass membrane protein {ECO:0000255}.",NA
"42","Q9QY30","Abcb11","Bsep Spgp","reviewed","ABCBB_MOUSE","Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11) (Sister of P-glycoprotein)","ATP-binding;Cell membrane;Endosome;Glycoprotein;Lipid transport;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport;Ubl conjugation","SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:O70127}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O70127}. Recycling endosome membrane {ECO:0000250|UniProtKB:O70127}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O70127}. Endosome {ECO:0000250|UniProtKB:O70127}. Cell membrane {ECO:0000250|UniProtKB:O70127}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O70127}. Note=Internalized at the canalicular membrane through interaction with the adapter protein complex 2 (AP-2). At steady state, localizes in the canalicular membrane but is also present in recycling endosomes. ABCB11 constantly and rapidly exchanges between the two sites through tubulo-vesicles carriers that move along microtubules. Microtubule-dependent trafficking of ABCB11 is enhanced by taurocholate and cAMP and regulated by STK11 through a PKA-mediated pathway. Trafficking of newly synthesized ABCB11 through endosomal compartment to the bile canalicular membrane is accelerated by cAMP but not by taurocholate (By similarity). Cell membrane expression is up-regulated by short- and medium-chain fatty acids (By similarity). {ECO:0000250|UniProtKB:O70127, ECO:0000250|UniProtKB:O95342}.",NA
"43","P21447","Abcb1a","Abcb4 Mdr1a Mdr3 Pgy-3 Pgy3","reviewed","MDR1A_MOUSE","ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1)","3D-structure;ATP-binding;Cell membrane;Cytoplasm;Direct protein sequencing;Glycoprotein;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P08183}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000269|PubMed:8898203}. Cytoplasm {ECO:0000250|UniProtKB:P08183}. Note=ABCB1 localization is influenced by C1orf115 expression levels (plasma membrane versus cytoplasm). {ECO:0000250|UniProtKB:P08183}.",NA
"44","P06795","Abcb1b","Abcb1 Mdr1 Mdr1b Pgy1 Pgy1-1","reviewed","MDR1B_MOUSE","ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1B) (Multidrug resistance protein 1B) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)","ATP-binding;Cell membrane;Cytoplasm;Glycoprotein;Lipid transport;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P08183}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000250|UniProtKB:P08183}. Cytoplasm {ECO:0000250|UniProtKB:P08183}. Note=ABCB1 localization is influenced by C1orf115 expression levels (plasma membrane versus cytoplasm). {ECO:0000250|UniProtKB:P08183}.",NA
